id_usuario,idade,genero,pais,ocupacao,nivel_renda,anos_jogando,genero_preferido,plataforma,tipo_dispositivo,nivel_ranqueado,horas_jogo_diarias,sessoes_semanais,horas_madrugada,horas_fim_de_semana,max_horas_consecutivas,proporcao_multiplayer,denuncias_chat_toxico,frequencia_rage_quit,compras_no_jogo,gasto_mensal_usd,aberturas_lootbox,status_assinatura,score_estresse,score_solidao,indice_dependencia_dopamina,score_autocontrole,score_impulsividade,nivel_ansiedade,indicador_depressao,estabilidade_emocional,horas_sono,exercicios_por_semana,xicaras_cafeina_dia,horas_interacao_social,status_relacionamento,nota_ou_performance,prazos_perdidos,queda_produtividade_percentual,dias_absenteismo,velocidade_internet_mbps,horas_tela_total,cluster_comportamental,score_dependencia,dependencia_binaria,severidade_dependencia,probabilidade_burnout,score_risco_saude_mental,probabilidade_churn
USR000015,27,Masculino,Brasil,Empregado,Baixa,14,Casual,PC,PC high-end,Ouro,"4,5",5,"1,4","5,6","9,0","0,0",1,1,0,"17,86",0,Básica,"7,4","5,1","2,6","7,3","2,7","5,5","4,5","7,0","7,0",2,0,"1,9",Solteiro,"4,0",1,"9,4",1,"149,9","6,2",Busca escape,"27,81",0,Leve,"1,0","0,5","0,879"
USR000016,22,Feminino,Coréia do Sul,Freelancer,Média-baixa,10,MMORPG,Console,Misto,Bronze,"9,4",9,"3,7","13,9","13,9","0,71",2,2,0,"0,0",5,Básica,"8,2","4,9","5,5","7,9","3,8","6,4","5,6","8,7","5,3",0,1,"4,3",Solteiro,"4,0",7,"27,7",3,"116,1","11,9",Competidor intenso,"47,67",0,Moderada,"1,0","0,6","0,767"
USR000017,18,Feminino,França,Estudante,Média,6,RPG,Mobile,Notebook,Sem ranking,"6,0",6,"2,6","9,1","12,2","0,63",23,4,4,"35,71",12,Premium,"5,2","4,8","5,1","5,8","6,5","5,4","4,9","8,7","5,7",3,3,"2,8",Solteiro,"2,59",4,"15,9",7,"213,7","9,8",Competidor toxico,"49,49",0,Moderada,"1,0","0,515","0,76"
USR000018,20,Masculino,Alemanha,Empregado,Baixa,7,MOBA,PC e mobile,Mobile,Prata,"11,2",10,"3,7","20,0","13,9","0,84",0,0,2,"32,09",12,No subscription,"7,0","3,9","6,1","6,5","4,2","4,1","4,4","7,4","7,2",0,3,"2,3",Em um relacionamento,"4,0",3,"10,5",5,"158,1","14,4",Streamer/Criador,"48,88",0,Moderada,"1,0","0,425","0,771"
USR000019,30,Masculino,Alemanha,Empregado,Média,15,Estratégia,PC e console,PC intermediario,Prata,"0,5",1,"0,0","0,9","1,0","0,08",1,0,0,"58,7",12,No subscription,"7,1","7,0","4,3","4,9","3,7","6,3","4,0","8,2","8,8",4,0,"0,5",Solteiro,"4,0",2,"0,0",1,"123,8","1,2",Jogador casual,"21,8",0,Leve,"1,0","0,515","0,747"
USR000020,18,Nao binario,Estados Unidos,Empregado,Média-baixa,6,RPG,Mobile,Notebook,Diamante,"4,1",3,"0,7","6,1","4,1","0,25",0,1,4,"45,6",5,Básica,"2,0","2,7","2,5","10,0","5,6","1,4","1,0","6,9","7,0",2,2,"1,1",Divorciado,"4,0",0,"27,7",2,"65,2","5,2",Jogador social,"20,25",0,Leve,"0,946","0,12","0,472"
USR000021,13,Masculino,Índia,Estudante,Média,1,Battle Royale,PC,Console,Prata,"4,5",4,"2,2","7,5","9,6","0,56",2,0,0,"27,55",8,No subscription,"9,2","8,3","5,2","8,8","6,0","9,5","4,3","9,3","6,4",2,1,"1,4",Em um relacionamento,"2,95",0,"15,4",3,"29,8","7,5",Jogador social,"29,92",0,Leve,"1,0","0,73","0,938"
USR000022,13,Masculino,Estados Unidos,Desempregado,Média-alta,1,RPG,Mobile,PC high-end,Mestre,"7,4",9,"3,0","10,3","12,1","0,65",2,4,0,"36,95",0,Ultimate,"5,6","1,6","3,4","4,7","4,2","3,4","4,7","7,5","7,3",1,4,"4,1",Divorciado,"4,0",2,"15,7",5,"255,5","11,2",Competidor intenso,"42,1",0,Moderada,"1,0","0,405","0,8"
USR000023,27,Prefiro nao informar,Canadá,Empregado,Média-alta,15,Sandbox,PC,PC intermediario,Prata,"6,9",6,"3,4","13,2","15,0","0,41",15,8,9,"116,89",24,Premium,"7,2","6,9","5,0","6,0","6,3","6,3","3,8","6,4","4,8",1,1,"3,0",Prefiro nao informar,"4,0",6,"22,0",9,"46,0","6,9",Competidor toxico,"50,59",1,Moderada,"1,0","0,505","0,845"
USR000024,13,Masculino,Estados Unidos,Empregado,Baixa,1,RPG,Mobile,Mobile,Ouro,"7,7",7,"2,1","9,7","10,2","0,39",3,0,0,"0,0",3,Ultimate,"4,9","7,2","4,0","6,7","6,8","4,6","6,3","7,4","9,2",0,1,"2,1",Solteiro,"4,0",3,"9,6",6,"115,4","10,9",Jogador compulsivo,"39,54",0,Leve,"1,0","0,545","0,728"
USR000025,13,Masculino,Índia,Estudante,Baixa,1,Sandbox,PC,Misto,Grao-mestre,"6,6",8,"2,7","7,7","10,8","0,14",1,0,0,"0,0",0,Ultimate,"7,5","4,3","5,4","7,8","6,1","5,3","5,7","9,3","6,5",0,2,"3,5",Solteiro,"3,28",3,"9,5",3,"126,4","7,5",Busca escape,"45,58",0,Moderada,"1,0","0,55","0,692"
USR000026,26,Feminino,Índia,Empregado,Média,14,Casual,Console,PC intermediario,Grao-mestre,"4,6",5,"2,5","7,8","5,3","0,26",9,8,1,"54,96",19,Premium,"6,2","6,5","2,5","5,6","6,3","6,9","6,5","7,1","7,8",1,1,"0,0",Solteiro,"4,0",1,"12,5",3,"158,6","5,4",Competidor toxico,"38,57",0,Leve,"1,0","0,67","0,967"
USR000027,28,Feminino,Índia,Empregado,Baixa,16,Estratégia,Console,Mobile,Diamante,"1,5",2,"0,1","2,4","3,6","0,61",1,2,0,"31,12",10,No subscription,"6,1","5,8","1,0","6,3","3,1","4,9","4,0","7,2","6,8",2,0,"0,0",Em um relacionamento,"4,0",0,"0,0",6,"36,5","3,7",Jogador casual,"19,56",0,Witout addiction,"1,0","0,445","0,808"
USR000028,16,Masculino,Estados Unidos,Freelancer,Baixa,4,MMORPG,Mobile,Mobile,Ouro,"4,6",6,"2,1","3,7","3,9","0,51",0,0,7,"14,45",11,No subscription,"6,0","2,7","3,9","7,2","5,4","2,9","3,8","6,1","6,7",1,3,"1,3",Em um relacionamento,"4,0",3,"0,0",6,"110,8","6,2",Busca escape,"32,49",0,Leve,"1,0","0,335","0,59"
USR000029,18,Masculino,Índia,Streamer/Criador de conteudo,Média,6,Estratégia,PC,Misto,Ouro,"2,0",4,"1,1","1,7","1,4","0,07",0,0,4,"12,93",0,No subscription,"6,4","10,0","1,4","7,5","3,7","7,2","7,4","7,2","7,0",2,0,"1,3",Solteiro,"4,0",1,"0,0",2,"125,0","4,8",Jogador casual,"16,6",0,Witout addiction,"1,0","0,73","0,836"
USR000030,20,Masculino,Índia,Empregado,Média,8,Sandbox,PC,Notebook,Bronze,"6,8",10,"1,6","8,6","11,3","0,06",2,7,4,"72,3",15,Básica,"4,6","9,3","4,5","4,2","5,8","6,0","6,5","8,6","8,0",0,2,"3,9",Casado,"4,0",6,"1,7",3,"130,7","8,1",Competidor toxico,"44,78",0,Moderada,"1,0","0,625","0,885"
USR000031,20,Masculino,Estados Unidos,Freelancer,Média,7,Battle Royale,Mobile,Notebook,Platina,"4,1",2,"2,0","5,8","9,4","0,98",0,0,11,"50,96",10,Premium,"8,9","5,5","2,1","6,4","5,1","5,7","4,0","5,3","6,0",3,2,"1,0",Em um relacionamento,"4,0",1,"8,9",8,"78,3","6,4",Busca escape,"29,01",0,Leve,"1,0","0,485","0,82"
USR000032,15,Masculino,Estados Unidos,Estudante,Média,3,MMORPG,Mobile,Misto,Ouro,"5,8",7,"0,6","7,2","10,9","0,71",0,7,0,"35,71",8,No subscription,"7,7","4,9","6,5","7,2","5,3","1,6","4,3","5,0","7,4",1,1,"0,4",Casado,"3,39",2,"19,0",1,"192,9","7,7",Competidor toxico,"31,35",0,Leve,"1,0","0,295","0,894"
USR000033,28,Feminino,Rússia,Estudante,Média,16,Battle Royale,Console,Console,Diamante,"4,4",6,"1,2","7,8","4,3","0,74",0,1,19,"64,72",10,Ultimate,"8,2","5,8","2,3","10,0","1,0","5,1","2,0","7,2","8,3",2,2,"4,2",Solteiro,"3,25",1,"19,7",1,"44,5","7,3",Jogador casual,"18,21",0,Witout addiction,"1,0","0,355","0,612"
USR000034,19,Masculino,Rússia,Empregado,Média-baixa,7,Sandbox,PC,Console,Diamante,"4,3",7,"1,1","8,8","5,9","0,41",1,0,0,"23,06",0,No subscription,"6,0","5,8","1,4","6,2","4,2","6,7","2,8","8,9","6,7",2,0,"2,6",Solteiro,"4,0",2,"8,5",2,"80,8","6,7",Streamer/Criador,"24,77",0,Leve,"1,0","0,475","0,763"
USR000035,20,Feminino,Austrália,Estudante,Alta,6,MMORPG,Console,Misto,Sem ranking,"6,3",10,"2,4","6,2","12,2","0,87",0,3,18,"170,51",36,Premium,"4,9","8,2","6,1","4,2","5,8","5,4","7,7","6,8","6,4",1,4,"0,4",Prefiro nao informar,"3,04",4,"27,8",5,"19,6","9,0",Jogador compulsivo,"44,39",0,Moderada,"1,0","0,655","0,841"
USR000036,14,Feminino,Brasil,Empregado,Média,1,Sandbox,PC,Console,Prata,"6,6",11,"1,6","10,5","10,1","0,29",0,1,21,"91,22",11,No subscription,"4,9","7,4","4,2","4,7","7,5","5,2","5,9","6,8","7,2",5,4,"2,5",Prefiro nao informar,"4,0",5,"5,9",10,"61,2","8,8",Busca escape,"45,1",0,Moderada,"1,0","0,555","0,819"
USR000037,27,Masculino,Índia,Empregado,Baixa,15,RPG,Console,Misto,Prata,"7,2",9,"3,0","8,2","13,9","0,18",1,0,0,"0,46",0,Básica,"7,3","4,0","6,6","7,2","3,8","8,6","7,0","4,3","7,3",0,6,"2,2",Em um relacionamento,"4,0",3,"18,0",8,"141,0","8,1",Streamer/Criador,"44,26",0,Moderada,"1,0","0,78","0,837"
USR000038,31,Feminino,Índia,Empregado,Média-alta,19,Sandbox,Console,Mobile,Ouro,"4,2",5,"1,3","6,4","5,2","0,49",2,0,0,"44,29",1,Básica,"6,3","5,7","2,2","7,6","3,7","5,0","2,2","4,8","8,5",2,4,"1,6",Solteiro,"4,0",0,"15,5",5,"167,9","5,3",Jogador social,"23,18",0,Leve,"1,0","0,36","0,613"
USR000039,13,Masculino,Brasil,Streamer/Criador de conteudo,Média,1,Sandbox,PC,Console,Bronze,"9,3",7,"2,5","9,7","13,9","0,32",1,3,7,"50,75",9,Premium,"7,2","7,1","7,9","4,2","6,7","6,3","6,5","5,7","5,6",3,3,"4,2",Solteiro,"4,0",3,"38,6",6,"153,3","11,3",Streamer/Criador,"61,25",1,Severa,"1,0","0,64","0,975"
USR000040,27,Masculino,Índia,Empregado,Média,15,MOBA,PC,Notebook,Diamante,"4,4",4,"1,6","6,0","2,7","0,46",0,3,1,"31,48",10,Premium,"6,9","4,6","2,4","6,6","3,7","4,9","1,0","7,3","6,7",2,2,"6,6",Solteiro,"4,0",0,"11,7",11,"67,7","6,5",Jogador social,"29,84",0,Leve,"1,0","0,295","0,698"
USR000041,29,Masculino,Indonésia,Freelancer,Média,17,MOBA,PC e console,Console,Ouro,"6,7",5,"2,3","9,0","9,8","0,74",3,1,3,"13,99",0,Básica,"10,0","7,7","2,4","7,9","3,7","9,8","6,9","3,9","6,9",0,4,"0,4",Solteiro,"4,0",4,"31,5",4,"107,6","7,8",Competidor intenso,"28,83",0,Leve,"1,0","0,835","0,823"
USR000042,27,Masculino,Indonésia,Empregado,Média,15,Terror,PC,Misto,Ouro,"10,2",10,"4,0","8,9","16,5","0,1",0,0,0,"21,46",6,Premium,"8,9","5,0","6,2","7,6","3,1","7,8","3,9","4,5","4,2",0,3,"1,5",Solteiro,"4,0",2,"32,0",4,"67,6","12,1",Jogador compulsivo,"53,34",1,Moderada,"1,0","0,585","0,842"
USR000043,13,Masculino,Estados Unidos,Freelancer,Alta,1,Casual,PC,Notebook,Diamante,"7,3",5,"3,7","9,8","6,2","0,7",0,5,3,"99,74",16,Premium,"6,6","5,6","3,9","7,6","2,8","5,5","3,7","7,0","5,8",0,5,"0,1",Casado,"4,0",3,"27,5",5,"239,4","9,2",Competidor intenso,"39,88",0,Leve,"1,0","0,46","0,687"
USR000044,26,Masculino,Estados Unidos,Empregado,Média,14,FPS,PC,PC high-end,Ouro,"4,8",6,"1,7","4,2","11,7","1,0",1,5,0,"0,0",1,Premium,"8,3","3,8","3,0","9,2","2,0","4,2","3,7","5,8","6,4",1,0,"3,6",Em um relacionamento,"4,0",1,"20,3",4,"42,0","6,6",Busca escape,"28,09",0,Leve,"1,0","0,395","0,74"
USR000045,26,Masculino,Brasil,Empregado,Média,14,Estratégia,PC,PC intermediario,Ouro,"2,5",1,"1,1","3,2","3,8","0,27",0,3,0,"37,99",8,Básica,"2,7","6,0","1,2","9,1","5,9","6,9","4,1","9,4","7,2",4,2,"1,9",Solteiro,"4,0",3,"0,0",4,"42,0","3,6",Jogador social,"20,49",0,Leve,"1,0","0,55","0,94"
USR000046,28,Feminino,México,Empregado,Média,16,Terror,PC e console,Misto,Prata,"8,9",10,"2,0","10,3","13,9","0,53",5,5,7,"0,0",0,Básica,"7,3","1,7","4,4","9,9","1,0","4,4","3,7","5,4","6,6",4,0,"4,4",Casado,"4,0",7,"30,6",7,"102,0","11,8",Competidor intenso,"37,67",0,Leve,"1,0","0,405","0,786"
USR000047,29,Nao binario,México,Empregado,Baixa,17,Sandbox,Console,PC high-end,Bronze,"1,3",1,"0,6","1,8","3,2","0,12",1,0,7,"15,9",5,Premium,"5,2","7,8","1,0","7,0","5,9","1,3","3,6","7,7","9,1",4,0,"3,0",Solteiro,"4,0",0,"12,0",3,"102,9","3,9",Jogador casual,"22,13",0,Leve,"1,0","0,245","0,769"
USR000048,28,Masculino,Estados Unidos,Freelancer,Média-alta,16,Casual,PC,PC high-end,Platina,"11,9",12,"4,0","16,3","20,6","0,32",2,0,5,"45,19",11,No subscription,"9,3","3,6","8,4","6,0","4,5","6,7","3,8","7,8","5,5",0,3,"3,8",Casado,"4,0",3,"44,2",12,"83,1","13,9",Streamer/Criador,"61,37",1,Severa,"1,0","0,525","1,0"
USR000049,27,Feminino,China,Estudante,Média,15,MOBA,Mobile,PC high-end,Prata,"5,8",9,"1,2","6,0","8,9","0,69",1,0,9,"49,78",12,Básica,"6,5","4,9","4,0","7,1","4,9","4,3","3,6","5,8","7,8",1,3,"4,7",Prefiro nao informar,"2,64",1,"11,8",4,"122,3","7,4",Jogador social,"36,82",0,Leve,"1,0","0,395","0,799"
USR000050,26,Masculino,Reino Unido,Empregado,Média-baixa,14,MMORPG,PC,PC high-end,Bronze,"5,5",9,"2,2","6,3","6,9","0,72",2,0,8,"57,74",12,Ultimate,"7,9","4,2","3,7","6,3","2,9","5,0","4,0","4,1","8,0",1,3,"0,3",Em um relacionamento,"4,0",2,"2,3",8,"80,6","7,2",Busca escape,"31,02",0,Leve,"1,0","0,45","0,928"
USR000051,16,Masculino,Índia,Empregado,Média,4,Estratégia,PC,Mobile,Platina,"4,9",4,"3,1","5,5","7,4","0,43",2,0,2,"0,0",2,Premium,"7,5","7,5","2,4","8,3","1,3","4,4","2,9","4,9","7,7",2,3,"1,9",Em um relacionamento,"4,0",2,"5,7",2,"147,6","6,2",Busca escape,"24,5",0,Leve,"1,0","0,365","1,0"
USR000052,24,Feminino,Rússia,Empregado,Média-baixa,12,MOBA,Console,Console,Bronze,"8,5",12,"2,7","12,2","16,6","0,69",1,0,0,"0,0",0,Básica,"6,8","6,5","4,0","6,2","6,4","5,4","4,6","5,8","5,5",1,0,"0,2",Solteiro,"4,0",4,"29,1",6,"5,0","8,9",Busca escape,"44,93",0,Moderada,"1,0","0,5","0,778"
USR000053,18,Prefiro nao informar,Índia,Estudante,Média-baixa,4,MMORPG,PC,Notebook,Bronze,"9,0",13,"3,7","7,2","11,9","0,24",2,3,6,"28,05",0,Básica,"6,2","6,6","3,9","6,3","4,2","6,5","4,8","7,5","6,5",2,6,"0,0",Prefiro nao informar,"2,45",2,"23,1",4,"151,3","10,4",Jogador compulsivo,"44,91",0,Moderada,"1,0","0,565","0,834"
USR000054,13,Masculino,Estados Unidos,Estudante,Média-baixa,1,Casual,Console,Notebook,Prata,"6,0",7,"2,0","10,6","12,1","0,39",3,0,0,"46,56",8,No subscription,"7,1","4,9","4,2","9,2","5,4","8,3","6,1","8,5","8,0",2,5,"0,9",Em um relacionamento,"2,43",0,"21,0",6,"5,0","8,4",Jogador compulsivo,"29,32",0,Leve,"1,0","0,72","0,861"
USR000055,19,Nao binario,Alemanha,Freelancer,Média-alta,7,Battle Royale,PC e mobile,Notebook,Platina,"5,5",6,"3,0","10,1","8,8","0,92",1,0,8,"36,3",6,Básica,"4,6","1,1","5,1","9,3","2,4","2,5","5,4","5,2","8,0",1,2,"3,1",Em um relacionamento,"4,0",0,"17,6",4,"116,9","6,8",Jogador casual,"32,28",0,Leve,"1,0","0,395","0,788"
USR000056,17,Masculino,Alemanha,Estudante,Média,5,FPS,PC,Misto,Diamante,"6,1",7,"2,6","8,1","3,8","0,77",0,10,0,"38,96",14,No subscription,"6,4","5,1","3,7","3,7","6,3","7,4","5,1","6,4","4,8",1,3,"2,8",Solteiro,"3,12",1,"8,5",6,"102,6","7,8",Competidor toxico,"48,22",0,Moderada,"1,0","0,625","0,732"
USR000057,31,Masculino,Índia,Empregado,Média-baixa,19,Battle Royale,Mobile,Misto,Ouro,"8,8",11,"2,7","11,3","13,3","0,71",4,0,0,"22,72",6,No subscription,"7,5","2,7","4,4","8,5","3,7","5,3","5,8","6,3","7,7",1,2,"2,8",Casado,"4,0",5,"17,2",5,"75,9","9,7",Competidor intenso,"42,75",0,Moderada,"1,0","0,555","0,648"
USR000058,22,Masculino,Japão,Estudante,Média-baixa,10,Esportes,PC,Mobile,Sem ranking,"5,0",8,"1,9","4,0","8,0","0,36",1,1,4,"52,93",3,Básica,"4,5","6,9","4,9","5,1","8,3","3,9","4,0","7,1","8,0",2,5,"0,2",Em um relacionamento,"3,05",3,"0,0",9,"137,5","6,8",Busca escape,"36,65",0,Leve,"1,0","0,395","0,773"
USR000059,17,Feminino,Rússia,Estudante,Média,5,FPS,PC,Console,Diamante,"5,2",5,"1,8","8,8","8,3","0,19",2,0,3,"49,43",6,Ultimate,"5,3","3,9","3,6","7,2","3,9","4,9","2,8","8,8","8,4",3,1,"4,1",Solteiro,"3,41",2,"11,8",7,"116,3","7,8",Jogador compulsivo,"30,64",0,Leve,"1,0","0,385","0,747"
USR000060,19,Masculino,México,Estudante,Média-alta,7,Terror,PC,Mobile,Diamante,"9,8",11,"4,2","7,8","16,4","0,38",0,0,6,"77,17",18,Básica,"7,2","7,9","5,2","7,8","3,8","4,1","6,2","7,5","7,5",1,2,"3,0",Solteiro,"2,81",2,"40,2",12,"5,0","13,3",Streamer/Criador,"48,35",0,Moderada,"1,0","0,515","0,675"
USR000061,22,Masculino,Outro,Desempregado,Baixa,10,MOBA,PC e console,Mobile,Ouro,"6,1",5,"2,5","8,4","10,6","0,66",1,0,5,"22,1",4,No subscription,"7,6","1,7","4,4","8,0","1,0","5,0","3,7","7,0","8,2",1,2,"3,5",Solteiro,"4,0",0,"9,5",6,"149,7","8,1",Busca escape,"33,65",0,Leve,"1,0","0,435","0,901"
USR000062,33,Masculino,Estados Unidos,Empregado,Média-baixa,21,Sandbox,PC,Console,Platina,"4,9",4,"3,2","6,0","5,5","0,31",1,1,0,"31,33",6,No subscription,"4,6","7,2","4,1","5,9","5,5","2,0","3,3","10,0","7,6",2,4,"1,8",Casado,"4,0",2,"7,5",6,"93,1","7,8",Jogador social,"38,28",0,Leve,"1,0","0,265","0,59"
USR000063,14,Masculino,Brasil,Estudante,Média,2,Terror,PC,Console,Ouro,"4,9",7,"2,3","7,3","8,7","0,5",1,0,0,"15,1",11,Básica,"4,8","4,4","4,8","4,8","6,1","3,5","4,2","7,2","7,3",4,1,"6,4",Em um relacionamento,"3,44",3,"0,0",6,"95,5","6,5",Busca escape,"39,29",0,Leve,"1,0","0,385","0,55"
USR000064,24,Feminino,Índia,Freelancer,Média-alta,12,Battle Royale,PC,Console,Diamante,"5,9",5,"1,0","6,8","7,9","0,81",26,10,3,"51,51",7,No subscription,"8,7","5,3","5,5","5,3","7,0","5,8","7,1","6,1","6,5",3,5,"2,3",Solteiro,"4,0",3,"9,4",8,"147,1","7,6",Competidor toxico,"42,61",0,Moderada,"1,0","0,645","0,717"
USR000065,14,Feminino,Brasil,Empregado,Média,2,Esportes,PC,Mobile,Bronze,"10,6",10,"3,0","18,5","17,7","0,22",0,0,1,"65,15",4,Premium,"7,3","5,0","6,2","6,8","8,1","4,2","3,3","7,7","6,9",0,4,"1,2",Em um relacionamento,"4,0",8,"22,2",5,"15,0","12,5",Streamer/Criador,"55,22",1,Moderada,"1,0","0,375","0,899"
USR000066,21,Masculino,Brasil,Estudante,Média,9,Estratégia,PC,Notebook,Sem ranking,"3,8",1,"0,1","4,4","6,4","0,62",1,0,12,"48,58",4,No subscription,"9,3","6,9","4,0","6,4","4,9","10,0","5,9","4,9","6,9",1,0,"1,2",Solteiro,"3,07",5,"7,9",0,"54,4","4,4",Jogador casual,"27,9",0,Leve,"1,0","0,795","0,961"
